NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5,A6,A7,A7A,A8,A9,A10,A10A,A11,A14,A15,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,K_1,K_2,K_3,K_4,K_5,K6,K7,K8A_1,K8A_2,K8A_3,B1,B2,B3,B4,B5A_1,B5A_2,B5A_3,B5A_4,B5A_5,B5A_6,B11,B12,B13,B14,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,D2,D3A_1,D3A_2,D3A_3,D3A_4,D3A_5,D3A_6,D3A_7,D3A_8,D11,D12,D13,D14,D15,EA_1,EA_2,EA_3,E4,E7,E8,E10,E11,E12,E14,E15,E16,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G2,G4,G5_1,G5_2,G5_3,G5_4,G5_5,H1,H2,H3,H4,H7,M1_1,M1_2,M1_3,M4,M6,M7,M8,M9,M10,wgt_n2,wgt_d2,wgt_s3
2009010021,50,3,2,2,5,11,1,3,1,2,1,5,2,3,1,5,3,3,4,3,3,2,1, , ,98, ,2,1,1,2,2,2,1,1,2,2,2,4,4,4,1,1,1,2, , , , , , , , , ,2,1,1,1,2,1,98,98,4,2,2,1,2,2, , , , , , , , , , , , , , ,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,4,4,4,5,1,1,3,1,98,1.86265373900835,.717670724035633,1.12614396180591
2009010022,5,9,4,2,2,8,2,4,1,2,1,3,1,2,1,1,1,2,5,5,3,2,2,1,2,1, ,1,1,1,3,2,2,1,2,2,1,2,6,6,3,1,2,1,2, , , , , , , , , ,2,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,3,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,7,7,6,7,1,3,1,1,2,1.43018343220759,2.77441813703855,.805156572874051
2009010023,50,3,2,1,3,3,1,2,2,1,3,4,2, ,1,6, , ,2,4,2,3,2, , ,2, ,2,1,1,3,2,2,2,2,2, , ,6,6,6,1,2,2,2, , , , , , , , , ,2,1, ,1,2,1,98,2,3,2,2,2, , , , , , , , , , , , , , , , ,1,2,2,3,1,98, , ,1,1,1,2,7, , , , , , , ,2, ,2,2,2,2,2,2,1,1,1,1,3,7,4,6,6,1,2,2,1,98,1.75797408687684,.749492315340926,1.14388507838988
2009010024,36,3,2,2,4,10,1,4,1,2,1,3,7,4,1,6,1,2,1,7,3,2,2, , ,1, ,1,2,2, ,2,2,2,2,2, , ,1,7,7,1,2,2,2, , , , , , , , , ,1,1,1,2,2, , , , , , ,1,2,98, , , , , , , , , , , , , , ,1,1,2,4,2,2, , , , , ,2,3,1,1,1,2,2,1,1,2, ,2,2,2,2,2,2,2,1,1,1,4,4,7,7,7,1,3,1,1,2,.869160434636148,.776056598542425,.636650923602969
2009010025,26,4,2,1,4,4,1,2,2,1,3,3,1, ,1,6, , ,5,5,2,2,2, , ,2, ,1,1,1,3,2,2,2,1,2,1,2,4,4,4,1,1,1,1, , , , , , , , , ,1,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,1,2,1,4,2,2, , , , , ,2,6,2,1,1,1,2,1,2,2, ,2,2,2,2,2,2,1,2,1,1,1,7,6,6,6,1,3,98,1,98,.610021887900137,2.28656222820458,1.20010535560098
2009010026,14,3,2,2,2,8,1,4,2,1,3,4,2, ,1,6, , ,8,8,1,2,98, , ,1, ,1,2,2, ,2,2,2,98,2, , ,3,4,5,1,1,1,2, , , , , , , , , ,2,1, ,98,1,1,3,98,2,2,2,1,2,1, , , , , , , , , , , , , , ,1,2,1,3,2,2, , , , , ,2,1,2,1,1,1,2,2,1,2, ,2,2,2,2,1,2,1,1,2,1,1,5,6,7,7,1,3,1,1,2,.853016961161201,.939113713725202,.716785981827895
2009010027,36,3,2,2,5,11,2,3,2,1,3,3,2, ,1,5, , ,10,10,3,2,2, , ,98, ,2,1,1,98,2,2,2,2,2, , ,7,7,1,1,1,1,2, , , , , , , , , ,1,1, ,1,2,1,98,98,98,2,2,1,2,2, , , , , , , , , , , , , , ,1,2,2,4,1,2, , ,98,2,98,2,1,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,4,7,7,7,5,1,3,98,98,98,2.12013591270905,1.43561348465126,1.169735674403
2009010028,31,2,1,1,1,1,1,2,2,3,3,2,3, ,1,6, , ,7,9,1,2,2, , ,2, ,1,1,1,99,98,1,98,98,2,1,1,4,6,6,1,1,2,2, , , , , , , , , ,1,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,1,1,2,1,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,1,6,5,5,98,1,2,1,1,98,2.66063429141118,.756976798188789,1.25847390697491
2009010029,36,3,2,2,5,11,2,2,1,2,1,5,8,8,2,5,3,3,5,3,1,3,2, , , ,2,2,2,2, ,1,2,2,2,2,2,2,2,2,2,1,2,1,2, , , , , , , , , ,2, , , , , , , , , , , , , ,2,1,1,2,2,2,2,2,2, , , , ,2,2,1,1, , , , , , , , ,2,99, , , , , , , ,1,2,2,2,2,2,2,2,1,1,1,1,1,7,7,7,6,1,3,3,1,98,2.12013591270905,1.43561348465126,1.169735674403
2009010030,26,4,2,2,4,10,1,2,1,2,1,5,4,2,1,5,1,1,1,10,1,1,2, , ,2, ,1,2,1,1,2,2,1,2,2,1,2,7,7,4,1,2,1,1, , , , , , , , , ,2,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,1,2,2,4,1,1, , ,2,98,3,2,2,2,1,1,1,1,1,1,2, ,2,2,2,2,2,2,2,1,2,1,1,99,1,7,7,98,98,2,1,98,.546485091474437,2.05683679620939,1.11454242154939
2009010031,44,7,3,1,6,6,1,5,1,2,1,3,8,8,2,5,2,2,5,3,3,2,2, , , ,2,2,2,2, ,2,1,2,1,1,2,2,6,6,4,1,1,2,2, , , , , , , , , ,1, , , , , , , , , , , , , ,2,1,2,2,1,2,1,2,2, , , , ,3,1,1,1,5,2,2, , , , , ,2,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,2,1,3,3,5,5,2,1,3,1,1,98,.879584890667413,2.03214850921831,.744522279200226
2009010032,23,3,2,2,4,10,1,3,1,2,1,3,6,1,1,5,1,1,1,3,3,2,2, , ,1, ,1,2,2, ,2,1,2,1,1,2,2,5,5,5,1,2,1,1, , , , , , , , , ,2,2, , ,2, , , , , , ,2, , , , , , , , , , , , , , , , ,1,1,1,4,1,2, , ,1,2,3,2,3,2,1,1,1,2,2,2,2, ,2,2,2,2,2,2,1,2,2,1,2,7,7,5,4,1,3,98,1,2,1.57487239184744,1.17763802283422,1.16807587784266
2009010033,49,5,3,1,3,3,2,3,4,2,2,1,7,2,1,4,2,2,98,10,2,1,2,2, ,2, ,1,1,1,1,2,2,2,2,2, , ,1,1,1,1,1,1,1, , , , , , , , , ,2,2, , ,2, , , , , , ,98, , , , , , , , , , , , , , , , ,1,2,2,1,98,2, , , , , ,2,2,2,1,1,1,1,1,1,2, ,2,2,1,1,1,1,1,1,2,2,3,7,2,7,99,1,2,98,98,98,1.45256918851865,.361977615156814,1.45548276489413
2009010034,49,5,3,2,1,7,1,3,1,2,1,1,7,3,1,6,1,2,4,4,2,2,98, , ,2, ,2,2,2, ,2,2,2,2,2, , ,4,4,98,1,1,1,2, , , , , , , , , ,2,2, , ,2, , , , , , ,2, , , , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,1,2,1,1,2,2,2,1,2, ,2,2,2,2,2,2,2,2,1,2,4,5,4,3,5,99,98,98,98,98,1.12200779093928,.288616736628748,1.211233411658
2009010035,14,3,2,2,5,11,1,4,1,2,1,6,4,4,1,5,3,1,7,3,1,3,1, , ,1, ,2,1,1,3,2,2,2,2,2, , ,4,4,4,1,1,2,2, , , , , , , , , ,99,1,1,2,1,2,99,98,2,2,2,1,2,2, , , , , , , , , , , , , , ,1,2,2,4,1,1, , ,1,2,1,2,3,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,2,7,4,4,4,1,3,2,1,98,1.02798483340863,.894619221092284,.666770075322756
2009010036,24,4,2,1,5,5,1,3,4,1,3,2,2, ,1,5, , ,7,7,3,3,1, , ,2, ,2,2,2, ,2,2,2,2,2, , ,3,6,4,1,1,1,2, , , , , , , , , ,1,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,1,7, , , , , , , ,2, ,2,2,2,2,1,2,1,2,1,1,3,6,6,6,4,1,3,98,1,98,.647656223740411,2.17682575019085,1.23804413013116
2009010037,21,5,3,2,3,9,2,4,4,4,3,7,2, ,1,3, , ,7,4,1,3,2,2, ,2, ,2,2,2, ,2,2,2,2,2, , ,5,7,6,1,1,1,2, , , , , , , , , ,2,2, , ,2, , , , , , ,98, , , , , , , , , , , , , , , , ,1,1,2,5,1,98, , ,1,98,3,2,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,1,2,1,1,3,7,7,5,6,1,98,3,1,98,.718165117823149,.548226751258924,.632369540841704
2009010038,5,9,4,2,4,10,1,4,4,3,3,5,1, ,1,6, , ,1,1,2,99,1, , ,1, ,1,2,2, ,2,2,2,2,2, , ,2,7,98,1,2,1,2, , , , , , , , , ,2,1, ,1,1,2,1,98,3,2,2,1,2,2, , , , , , , , , , , , , , ,2,2,1, , , , , , , , ,2,3,2,1,1,2,2,2,2,2, ,2,2,2,2,2,2,1,1,2,1,1,7,7,7,6,1,3,2,1,2,.987728746371224,2.09454319178214,.637266463500589
2009010039,23,3,2,1,4,4,1,3,2,1,3,4,7, ,1,6, , ,1,7,1,2,2, , ,1, ,1,2,2, ,2,1,2,1,1,1,2,6,4,7,1,1,2,2, , , , , , , , , ,1,2, , ,1,2,1,2,1,1,1,1,2,2, , , , , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2,3,2,1,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,2,1,1,6,6,7,5,1,3,1,1,2,1.75797408687684,1.2677297925419,1.20295067847027
2009010040,19,7,3,2,1,7,1,4,1,2,1,5,2,2,1,1,3,3,1,1,3,1,2,1,2,98, ,2,1,1,2,2,2,2,1,1,2,1,4,7,7,1,1,1,1, , , , , , , , , ,2,2, , ,1,2,3,2,3,2,2,2, , , , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,1,1,1,2,2,2,2,1,2, ,2,1,1,2,2,1,1,2,2,1,1,4,7,7,7,1,98,2,1,98,.728398854310699,.293234833439564,.472243203981626
