NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2012,A6,A7,A7A,A11,A8,AM21,AM22,X3,X4,AM8,A9,A10,A10A,A21,A22,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J11,J12,K_1,K_2,K_3,K_4,K_5,B20_1,B20_2,B20_3,B20_4,B11A,B21,B22_1,B22_2,B22_3,B22_4,B22_5,B22_6,B22_7,B22_8,B1,B2,B4,B23,B14,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,EA_2A,E4A,E5_2012,E7,E8,E20,E15,E16,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G21,G22,G4,G25_1,G25_2,G25_3,G25_4,G25_5,G23,H1,H3,M1_1,M1_2,M4,M20,M21_1,M21_2,M21_3,M21_4,M22,M6,M7,M8,M9,M10,wgt_n2,wgt_d2,wgt_s3
2012010021,33,2,1,2,6,12,1,6,1,2,1,6,7,3,2,1, ,2,8,8,2, , ,3,8,6,1,3,1, , ,99,2,1,1,1,2,2,2,2,2,2,1,1,2,2,3,1,1,1,3,3,3,3,3,1,1,2, ,99,99, , ,99, , , ,99,1,2,1,2,99,2,1,2,1, ,2,2, , ,2,2,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,1,98,7,4,6,3, , , , ,1,1,2,2,1,2,1.595616824801710,1.200146144581220,0.838080842921325
2012010022,16,4,2,2,4,10,1,4,1,2,1,6,4,3,2,1, ,2,6,8,3,2, ,1,8,4,1,2,1, , ,1,2,2,1,1,2,1,2,1,1,2,2,1,2, ,3,1,2,2,2,3,2,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,1,2,2,2,1,2,8,100,2,2, , ,2,2,2,1,1,2,2,2,1,2,2,2, ,2,1,1,1,1,1,3,1,1,7,7,5,3, , , , ,1,1,3,2,1,2,0.467573511379771,1.050567965024740,0.942284303663235
2012010023,34,5,3,2,6,12,1,4,1,2,1,5,5,3,2,1, ,2,8,8,2,2, ,3,5,6,3,3,2, , ,1,2,1,2,2,2,1,2,2,2,2,2,1,2, ,3,2,2,1,3,3,2,2,3,1,1,2, ,2,2, , ,1,2,2,2,2,2,1,1,2,2,2,1,2,9,7,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,2,1,1,6,3,4,3, , , , ,1,1,3,98,1,98,1.173593189941430,1.446948771764650,1.021773406900220
2012010024,19,7,3,2,6,12,2,4,5,1,3,5,3,3, ,1, , ,8, ,2,2, , ,7,6,3,2,1, , ,1,98,2,2,2,2,1,2,2,2,2,1,1,2,1,3,3,2,1,1,3,1,3,3,1,1,2, ,99,1, ,1,99,2,2,1,1,1,2,2,2,2,2,1,2,1, ,2,2, , ,2,2,2,2,2,2,2,2,98,2,2,2, ,2,1,1,1,1,1,3,1,1,6,6,6,1, , , , ,1,3,3,2,1,1,0.930769658912977,0.376914729780953,0.837827731518578
2012010025,45,8,4,2,5,11,1,5,1,2,1,1,5,3,3,1, , ,4,8,3, , ,1,3,3,1,2,1,2, ,1,1,2,2,2,2,1,2,1,1,2,2,2,2, , ,2,2,1,2,2,2,3,3,1,1,2, ,1,1,2,98,2, , , ,2,2,2,2,2,2,2,1,2,1, ,2,1,2, ,2,2,1,2,2,2,2,2,1,2,2,2, ,2,1,1,1,1,1,2,1,2,6,5,6,3, , , , ,1,1,2,4,1,2,0.313277304520468,0.741586538780883,0.706842540597511
2012010026,33,2,1,2,4,10,1,6,2,1,3,6,4,3, ,1, , ,2, ,1, , , ,8,3,3,3,1, ,1, ,2,1,2,1,2,1,2,2,2,2,2,1,2, ,3,2,2,1,3,3,1,3,3,1,1,2, ,1,2, , ,1,1,2,2,1,2,2,2,2,2,1,1,1,1, ,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,1,2,7,5,5,2,2,1,2, ,1,1,3,2,1,2,1.425360040416280,1.139003738712410,0.861848168796027
2012010027,36,3,2,1,6,6,1,6,5,1,3,5,2,2, ,1, ,2,8, ,2, , , ,1,3,2,1,2, , ,2,2,4,1,1,2,2,2,2,2,2,2,1,2, ,3,2,3,2,1,3,2,2,3,1,1,1, ,2,2, , ,1,2,2,1,2,1,2,2,2,2,2,2,1, , , , , , ,2,3,2,1,1,2,2,2,2,1,1,2, ,1,3,4,1,5,1,7,1,1,1,3,2,98, , , , ,2,1,3,98,2,1,1.065287507393870,1.006807787748250,0.923039571317253
2012010028,22,1,1,1,6,6,1,6,4,2,2,5,5,3, ,1, , ,8,3,2, , ,1,99,7,3,2,2, , ,1,1,2,1,1,2,2,2,2,2,99,99,99,99, , ,99,99,99,99,99,99,99,99,1,1,1, ,2,1,1,1,1,2,2,2,99,99,99,99,99,99,99,1,2,1, ,1,1,2,1,2,99, , , , , , , ,1,2,2, ,2,1,1,1,1,1,3,1,2,6,6,5,99, , , , ,1,1,3,2,1,2,0.303875684344105,1.968483152875320,0.741518875718173
2012010029,23,3,2,1,6,6,1,2,5,1,3,6,2,2, ,1, ,2,8, ,2,2, , ,2,8,2,1,2, , ,1,2,4,1,1,2,2,2,2,2,2,2,2,2, , ,2,3,3,2,2,2,3,3,1,2,1, ,2,1, ,2,2, , , ,2,1,2,1,2,2,2,2,2, , , , , , ,2,7, , , , , , , ,1,2,2, ,2,1,1,1,1,1,7,1,1,7,6,5,3, , , , ,1,2,3,98,1,2,1.534316746880300,1.059499476164150,1.041759736641520
2012010030,7,1,1,2,4,10,1,4,1,2,1,5,5,3,3,1, , ,4,2,1,2, ,2,7,5,1,3,1, ,1, ,2,1,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,1,1,3,2,3,3,1,1,2, ,2,2, , ,2, , , ,1,2,1,2,2,2,2,1,2,1, ,2,2, , ,2,2,2,1,2,2,2,2,2,1,2,2, ,2,1,1,1,1,1,5,1,1,6,5,5,3, , , , ,1,1,3,4,1,98,0.402014359606574,1.559069576976880,1.023850146092920
