NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM22,X3,X4,A9,A10,A10A,A21_2015,A22_2015,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J30,J31,J32,J33_1,J33_2,B1,B2,B4,B30,B31,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,E4A_2015,E5_2015,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G31,G32,G33,G34,G35,G22_2015,G36,G25_1,G25_2,G25_4,G25_5,G37_1,G37_2,G37_3,G37_98,G37_99,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M30,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3
2015010031,24,4,2,2,4,10,1,2,4,1,3,5,3,3, , , ,1, ,2, ,1,2, , ,7,8,1,3,1, ,2, ,2,3,3,2,4,5,6,1,1,2,3,3,1, ,1,2,1,2,2,2,1,2,2,2,2,2,2,2, , , , , , ,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,3,1,2,2,2,5,5,4,2,1, ,2, ,1,1,3,2,2,1,2,0.52529195,1.82150123,0.99349744
2015010032,24,4,2,1,4,4,1,6,2,1,3,6,7,3, , , ,1, ,1, ,1, , , ,8,8,1,3,1, ,1, ,2,1,98,2,5,1,7,1,1,2,3,3,2, , ,1,1,2,2,1,1,2,2,2,2,1,2,2, , , , , , ,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,7,6,2,1,1,1, ,1,1,3,1,2,1,2,0.40609157,1.48072992,0.89246165
2015010033,33,2,1,2,4,10,1,6,1,2,1,5,8,3, , ,3,1, ,2,2,1, , ,3,10,5,3,3,1, ,1, ,2,1,5,2,5,1,6,1,1,2,3,2,1,3,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,6,6,5,3, , , , ,1,1,3,98,3,1,2,0.76919612,0.80734124,0.80593611
2015010034,5,9,4,1,2,2,2,6,2,1,3,6,6,3, , , ,1, ,2, ,1, , , ,8,9,3,3,1, ,1, ,1,2,1,1,4,5,4,1,1,2,1,1,98, , ,1,1,1,2,1,1,2,2,2,2,1,1,1,1, ,1,1,2,3,5,1,1,1,2,2,1,2,2,2,1,0,0,0,0,0,0,0,1,1,1,2,2,2,98,4,2,3,2,0,0,0,1,0,99,4,1,1,2,1,5,4,4,3, , , , ,1,98,1,2,2,2,98,0.91686742,2.08642758,0.85098347
2015010035,36,3,2,2,6,12,1,6,1,2,1,5,4,3, , ,3,1, ,4,8,3, , ,2,2,98,1,2,2, , ,98,2,2,1,2,2,6,98,1,2,1,3,3,98, , ,98, , , ,2,2,1,98,1,2,2,2,1,1, ,1,1,1,98,7, , , , , , , ,1,98,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,1,7,1,2,2,2,4,7,2,98, , , , ,2,98,98,2,98,98,98,1.10217265,1.24911345,0.86039663
2015010036,10,5,3,1,3,3,1,4,1,2,1,6,3,3, , ,3,1, ,3,7,1,2, ,2,5,5,3,2,1, ,1, ,1,1,3,1,2,6,3,1,1,2,3,3,2, , ,1,2,2,2,2,1,2,1,2,2,2,1,1,15,10,1,2,2,1,2,1,2,2,2,2,2,2,1,1,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,2,1,1,1,4,4,5,3, , , , ,2,1,3,2,4,1,98,1.38806936,3.38634062,1.16365657
2015010037,23,3,2,2,3,9,1,4,1,2,1,1,4,3, , ,3,1, ,4,1,1,2, ,2,2,98,3,3,1,2,1, ,2,2,3,2,2,5,99,1,99,2,3,3,2, , ,98, , , ,2,1,2,2,2,1,2,1,1,97, ,2,2, , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,5,3,2,1,2,1, ,2,98,98,98,98,98,98,1.55740973,1.34116488,1.08140898
2015010038,44,7,3,1,5,5,1,6,1,2,1,6,4,3, , ,3,1, ,1,2,1, , ,3,2,2,2,2,2, ,2, ,98,2,3,2,5,6,4,1,1,2,2,3,1,2,2,2, , , ,2,1,2,1,2,2,1,2,1,1, ,1,1,1,1,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,7,1,2,1,1,6,6,5,98, , , , ,1,1,98,98,3,1,98,0.55798650,1.32467787,0.75510731
2015010039,39,2,1,2,3,9,1,6,1,2,1,2,5,3, , ,3,1, ,4,2,1, , ,3,8,5,1,3,1,2,1, ,2,2,4,1,4,6,6,1,1,2,3,3,1,3,1,2,1,2,2,2,1,2,2,2,2,2,2,1,6,25,2,2, , ,1,1,2,2,2,2,2,1,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,2,1,2,2,2,6,6,6,3, , , , ,1,1,3,1,3,1,2,1.47137468,1.00464351,0.89687139
2015010040,17,4,2,1,5,5,1,6,1,2,1,5,5,2,4,1,3,1, ,8,2,2, , ,1,7,3,1,3,1, , ,2,2,1,4,2,5,4,4,1,2,2,3,3,2, , ,1,1,2,2,1,1,1,2,1,2,2,2,1,1, ,1,2,2,1,3,1,2,2,2,2,1,1,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,5,5,6,3, , , , ,2,1,3,1,3,1,2,0.39506827,0.79470320,0.82887998
